state,city,bedrooms,bathrooms,num_of_property,market_size,avg_price,min_price,max_price,avg_size,min_size,max_size,avg_lot,min_lot,max_lot
Massachusetts,Falmouth,1,1,4,1490500,372625,321500,425000,65.287674541755308,58.157359321435543,74.229600795250789,0.52204494,0.52204494,0.52204494
Vermont,Dover,1,2,4,294000,73500,23500,220000,74.368955490110466,71.6283131578703,78.0386291214151,,,
Massachusetts,Bridgewater,2,2,4,1086900,271725,235000,337000,129.83212404425905,113.52762474567768,145.67210769330819,0.0607029,0.0607029,0.0607029
Connecticut,Uncasville,2,2,4,909985,227496.25,195000,244995,123.65406590548035,106.28118061297485,134.43082897462816,,,
New Jersey,Penns Grove,3,1,4,503800,125950,49000,164900,129.39083417720346,121.23858452791275,149.20242662975315,0.07689034,0.06879662,0.08498406
New York,White Plains,2,3,4,3796000,949000,749000,1150000,139.26179172976339,122.63213147650944,161.09402725777832,,,
New Hampshire,Conway,4,5,4,3098900,774725,725000,849900,243.89394178689881,223.06041490537817,250.83845074740569,0.2225773,0.2225773,0.2225773
New York,Brooklyn,6,6,4,8745000,2186250,1495000,3450000,395.61249485161818,371.61251962578621,431.99955406497645,0.02428116,0.02428116,0.02428116
Massachusetts,Orleans,1,1,4,1249400,312350,159900,695000,45.2902758293927,24.340620035488996,99.592155259710708,0.50181064,0.50181064,0.50181064
New York,Scarsdale,0,1,4,464000,116000,99000,135000,53.419299696206771,41.80640845790095,60.387034439190259,,,
Vermont,Stratton,2,2,4,1943000,485750,325000,580000,104.56247270970559,92.8102267765401,112.13407779708099,,,
New Jersey,Vineland,2,2,4,405000,101250,65000,145000,110.09020893913916,82.497979356924532,139.35469485966982,0.13759324,0.13759324,0.13759324
Puerto Rico,Isabela,3,3,4,1330000,332500,170000,550000,238.85394698947408,135.45276340359908,422.15182229489312,1.1344697533333334,0.06879662,3.237488
New Jersey,Salem,3,2,4,2189000,547250,125000,1550000,180.44110406079582,131.64373507743477,232.7223404156486,3.7015279466666664,0.06879662,10.926522
Rhode Island,Portsmouth,2,2,4,2429525,607381.25,330000,895000,130.31986547626789,120.77406887838052,139.81921050920207,0.06677319,0.04451546,0.08903092
Connecticut,Danbury,2,3,4,2138995,534748.75,320000,915000,154.42822768699079,136.38179470266354,165.36757123347485,0.05260918,0.05260918,0.05260918
Connecticut,Monroe,2,2,4,2199600,549900,529900,569900,210.05397671847564,191.93786638671858,228.17008705023272,,,
Massachusetts,Fall River,2,2,4,1414700,353675,329900,369900,137.4966322615409,111.48375588773587,153.6617768652626,,,
Connecticut,Greenwich,5,4,4,6489000,1622250,1295000,2249000,317.21773706556178,285.49131820251023,337.33126469030742,0.3237488,0.07689034,0.48157634
Massachusetts,Milton,2,2,4,3526000,881500,580000,1030000,119.65923131950316,116.12891238305819,125.88374102323507,,,
New Jersey,Mantoloking,5,5,4,12309000,3077250,905000,6999000,328.07191940963156,299.33388455857079,385.54798911175317,0.21583253333333333,0.0404686,0.56251354
New Jersey,West New York,0,1,4,802291,200572.75,174900,224797,56.322522505783219,51.0967214485456,60.387034439190259,,,
New York,Peekskill,0,1,4,314600,78650,75000,82000,50.516076886630309,48.774143200884438,51.0967214485456,5.7424943399999995,5.7424943399999995,5.7424943399999995
Connecticut,Bristol,2,1,4,606700,151675,97000,204900,78.851531508096514,65.961222233577047,91.7882923475692,0.11061417333333334,0.06879662,0.15782754
Massachusetts,Attleboro,2,1,4,706700,176675,84900,309900,72.928956976560542,59.45800314012579,80.8257230186085,0.21853044000000002,0.21853044000000002,0.21853044000000002
Maine,Bangor,2,2,4,652395,163098.75,78000,389900,102.95989371881939,85.84249203355661,147.80887968115647,,,
Massachusetts,West Yarmouth,2,2,4,1313900,328475,319000,339900,114.54955917464859,102.1934428970912,122.44632521669655,,,
New Jersey,Florence,3,3,4,1519799,379949.75,310000,479900,179.97658841126358,179.11723445962895,180.60368453813209,0.09307778,0.09307778,0.09307778
Massachusetts,Brookline,3,2,4,5199000,1299750,875000,1575000,127.18438484192532,102.65795854662343,153.29016434563681,,,
Rhode Island,North Providence,3,3,4,1924800,481200,385000,600000,156.58822545731564,106.28118061297485,202.90043571567927,0.097124640000000012,0.06474976,0.11331208000000001
New Jersey,Irvington,4,2,4,1540000,385000,300000,486000,185.71335668298667,185.62045355308021,185.8062598128931,0.041817553333333334,0.02428116,0.06474976
New York,New York,8,3,4,7740000,1935000,795000,3750000,268.89262565922513,228.54169956985851,299.42678768847725,0.018885346666666667,0.01618744,0.02428116
New Jersey,Ocean City,6,4,4,6748800,1687200,1399900,1999900,210.47204080305465,192.30947890634437,228.63460269976497,0.039119646666666667,0.03237488,0.05260918
Connecticut,Danbury,4,3,4,2523000,630750,519000,690000,248.65522719460421,228.63460269976497,264.30940458384043,0.19559823333333334,0.18615556,0.21448358
New York,Scarsdale,1,2,4,3445000,861250,200000,1501000,111.43730432278264,78.967660420479575,146.78694525218555,0.014164010000000001,0.00404686,0.02428116
Massachusetts,Revere,6,3,4,2933800,733450,599900,829000,298.962272038945,240.61910645769657,343.27706500432004,0.043166506666666667,0.0404686,0.04451546
Massachusetts,North Truro,1,1,4,1377400,344350,180000,427900,30.704484434080584,19.045141630821544,45.336727394345914,0.63131016,0.28732705999999997,1.0643241799999998
Rhode Island,East Providence,2,1,4,813700,203425,69900,274900,75.716050873753943,66.890253532641523,78.967660420479575,0.0607029,0.0607029,0.0607029
New York,Spring Valley,1,1,4,243500,60875,39500,72000,70.559927163946156,60.201228179377367,78.967660420479575,0.0809372,0.0809372,0.0809372
Rhode Island,Middletown,0,1,4,1795000,448750,325000,795000,119.33407036483061,92.903129906446551,194.53915402409908,,,
Connecticut,West Haven,2,1,4,619800,154950,84900,260000,107.93021116881428,82.0334637073923,155.51983946339152,0.056656040000000005,0.056656040000000005,0.056656040000000005
Connecticut,Milford,2,2,4,1369800,342450,299900,429900,119.28761879987738,104.05150549522014,135.26695714378619,0.36826426,0.03237488,0.70415364
Massachusetts,Winthrop,3,2,4,2658700,664675,629000,699900,162.88241250847744,148.92371724003382,193.23851020540883,0.059353946666666671,0.0404686,0.0809372
New York,Bronx,8,5,4,4197900,1049475,725000,1374900,348.10802775945524,324.8822452828436,371.61251962578621,0.03439831,0.03237488,0.03642174
Vermont,Killington,3,2,4,1327000,331750,79000,599000,111.73923949497859,96.8050613625173,135.26695714378619,0.2428116,0.2428116,0.2428116
Massachusetts,Boston,3,5,4,37335000,9333750,5850000,16990000,329.73643382045543,288.74292774923589,440.82535140608888,,,
Connecticut,Stamford,3,4,4,5378000,1344500,695000,1858000,327.71579074499016,193.79592898484751,567.45231746857553,0.38040484,0.10926522000000001,0.65154446
New York,Rye,3,4,4,11250000,2812500,2550000,3495000,210.03075093599904,193.79592898484751,256.87715419132473,,,
Vermont,Dover,0,1,4,69000,17250,14000,20000,34.652867455104563,30.843839128940257,39.112217690613996,,,
